date,indoor_temp_c,outdoor_temp_c
2025-07-18,27.0,27.9
2025-07-19,26.7,25.2
2025-07-20,27.6,28.8
2025-07-21,28.0,29.3
2025-07-22,23.1,23.5
2025-07-23,27.8,24.8
2025-07-24,27.8,27.7
2025-07-25,27.7,26.8
2025-07-26,27.6,27.4
2025-07-27,28.4,25.8
2025-07-28,27.4,29.3
2025-07-29,26.5,29.1
2025-07-30,28.2,27.6
2025-07-31,27.4,29.8
2025-08-01,27.5,28.4
2025-08-02,27.8,25.8
2025-08-03,26.6,28.2
2025-08-04,26.5,25.5
2025-08-05,26.7,29.2
2025-08-06,27.0,27.3
2025-08-07,27.5,27.0
2025-08-08,27.5,26.0
2025-08-09,27.7,29.8
2025-08-10,26.6,27.0
2025-08-11,26.1,26.4
2025-08-12,27.3,26.5
2025-08-13,27.2,28.2
2025-08-14,27.6,27.8
2025-08-15,27.8,27.9
2025-08-16,27.5,27.9
2025-08-17,28.1,31.2
2025-08-18,27.3,26.1
2025-08-19,27.5,25.8
2025-08-20,26.8,25.1
2025-08-21,27.3,27.9
2025-08-22,27.6,28.8
2025-08-23,27.6,26.3
2025-08-24,26.9,24.7
2025-08-25,27.3,24.7
2025-08-26,27.2,27.5
2025-08-27,27.3,27.6
2025-08-28,27.7,27.1
2025-08-29,26.1,24.6
2025-08-30,26.6,26.3
2025-08-31,26.5,26.0
2025-09-01,26.1,26.1
2025-09-02,27.0,27.3
2025-09-03,27.6,25.9
2025-09-04,27.1,26.7
2025-09-05,27.2,25.3
2025-09-06,27.7,25.7
2025-09-07,27.9,26.2
2025-09-08,22.1,21.9
2025-09-09,27.7,24.1
2025-09-10,23.2,23.6
2025-09-11,22.5,23.2
2025-09-12,23.0,23.8
2025-09-13,26.6,27.2
2025-09-14,21.9,22.3
2025-09-15,27.0,25.8
2025-09-16,21.6,20.4
2025-09-17,23.6,22.9
2025-09-18,22.6,23.8
2025-09-19,27.2,24.5
2025-09-20,26.5,24.6
2025-09-21,27.3,24.6
2025-09-22,22.2,22.1
2025-09-23,21.1,21.7
2025-09-24,27.5,24.2
2025-09-25,21.9,22.0
2025-09-26,20.5,19.6
2025-09-27,20.3,19.7
2025-09-28,20.7,20.0
2025-09-29,22.8,22.7
2025-09-30,22.0,21.8
2025-10-01,22.8,22.7
2025-10-02,21.4,20.3
2025-10-03,22.4,21.3
2025-10-04,22.0,22.0
2025-10-05,20.3,20.0
2025-10-06,22.3,21.3
2025-10-07,20.2,18.9
2025-10-08,21.2,19.3
2025-10-09,20.7,19.1
2025-10-10,19.7,17.3
2025-10-11,21.5,20.5
2025-10-12,21.0,18.4
2025-10-13,21.5,19.1
2025-10-14,21.0,19.9
2025-10-15,20.9,19.6
2025-10-16,21.5,19.9
2025-10-17,19.5,18.1
2025-10-18,19.9,17.3
2025-10-19,19.9,17.8
2025-10-20,18.9,14.4
2025-10-21,18.4,14.7
2025-10-22,18.1,14.7
2025-10-23,18.0,15.2
2025-10-24,19.4,17.8
2025-10-25,18.7,15.0
2025-10-26,19.1,15.8
2025-10-27,21.4,19.0
2025-10-28,19.7,15.5
2025-10-29,19.3,17.5
2025-10-30,18.7,13.9
2025-10-31,18.8,15.2
2025-11-01,18.3,13.5
2025-11-02,18.9,14.5
2025-11-03,19.8,16.7
2025-11-04,17.5,11.3
2025-11-05,19.6,15.5
2025-11-06,18.3,14.9
2025-11-07,18.3,13.0
2025-11-08,18.9,11.1
2025-11-09,18.7,14.0
2025-11-10,18.8,12.6
2025-11-11,18.6,13.9
2025-11-12,18.6,13.3
2025-11-13,19.4,16.3
2025-11-14,17.9,12.4
2025-11-15,17.0,10.6
2025-11-16,18.4,12.8
2025-11-17,17.7,12.7
2025-11-18,19.2,14.8
2025-11-19,19.0,13.6
2025-11-20,18.2,12.5
2025-11-21,18.6,14.5
2025-11-22,17.1,9.0
2025-11-23,17.0,9.9
2025-11-24,17.4,9.2
2025-11-25,16.3,10.1
2025-11-26,16.3,7.9
2025-11-27,16.8,11.8
2025-11-28,16.4,9.9
2025-11-29,16.9,7.2
2025-11-30,16.9,7.9
2025-12-01,17.0,10.4
2025-12-02,16.9,11.3
2025-12-03,16.9,13.5
2025-12-04,18.7,15.1
2025-12-05,18.4,10.0
2025-12-06,16.4,7.0
2025-12-07,15.0,4.6
2025-12-08,17.2,9.2
2025-12-09,15.3,6.9
2025-12-10,16.2,7.6
2025-12-11,16.2,7.0
2025-12-12,16.4,7.8
2025-12-13,17.6,10.1
2025-12-14,16.7,8.1
2025-12-15,16.6,7.4
2025-12-16,15.3,5.5
2025-12-17,15.6,4.1
2025-12-18,16.7,6.3
2025-12-19,15.7,7.0
2025-12-20,17.0,10.6
2025-12-21,16.9,7.2
2025-12-22,16.7,8.7
2025-12-23,16.4,5.7
2025-12-24,14.9,4.2
2025-12-25,16.0,4.5
2025-12-26,15.5,4.9
2025-12-27,17.5,10.5
2025-12-28,16.1,4.5
2025-12-29,16.2,7.7
2025-12-30,14.7,4.1
2025-12-31,16.2,7.7
2026-01-01,16.2,6.5
2026-01-02,14.8,5.3
2026-01-03,15.9,5.5
2026-01-04,14.9,4.2
2026-01-05,16.5,6.3
2026-01-06,14.0,4.4
2026-01-07,14.3,2.8
2026-01-08,13.8,2.6
2026-01-09,15.2,5.5
2026-01-10,16.7,8.2
2026-01-11,15.5,5.3
2026-01-12,15.2,4.7
2026-01-13,15.5,5.5
2026-01-14,16.4,7.4
2026-01-15,15.0,5.2
2026-01-16,15.4,3.9
2026-01-17,16.5,6.9
2026-01-18,15.8,5.5
2026-01-19,16.7,7.7
2026-01-20,15.6,5.0
2026-01-21,15.5,2.1
2026-01-22,14.3,1.8
2026-01-23,16.3,7.8
2026-01-24,16.1,8.0
2026-01-25,14.6,4.2
2026-01-26,14.4,3.7
2026-01-27,15.9,7.4
2026-01-28,14.5,2.3
2026-01-29,14.8,2.7
2026-01-30,15.8,5.8
2026-01-31,14.6,3.7
2026-02-01,15.7,4.5
2026-02-02,15.5,4.2
2026-02-03,15.5,5.2
2026-02-04,16.0,7.4
2026-02-05,15.7,4.8
2026-02-06,15.9,5.9
2026-02-07,13.2,0.6
2026-02-08,15.3,4.6
2026-02-09,14.9,3.1
2026-02-10,14.1,2.3
2026-02-11,14.9,3.1
2026-02-12,14.4,4.2
2026-02-13,16.7,6.8
2026-02-14,15.1,2.3
2026-02-15,15.4,5.1
2026-02-16,15.3,4.1
2026-02-17,14.1,4.5
2026-02-18,15.7,7.2
2026-02-19,15.8,6.4
2026-02-20,16.0,8.1
2026-02-21,15.9,5.2
2026-02-22,16.2,4.2
2026-02-23,14.9,5.2
2026-02-24,15.5,6.2
2026-02-25,16.0,6.2
2026-02-26,15.8,3.7
2026-02-27,15.3,6.2
2026-02-28,16.1,6.6
2026-03-01,18.5,11.2
2026-03-02,16.4,10.1
2026-03-03,14.7,4.7
2026-03-04,15.6,5.9
2026-03-05,14.7,3.7
2026-03-06,16.1,5.6
2026-03-07,16.4,7.5
2026-03-08,16.1,9.4
2026-03-09,15.9,5.7
2026-03-10,15.5,5.9
2026-03-11,15.4,3.1
2026-03-12,15.9,7.2
2026-03-13,15.3,5.5
2026-03-14,16.3,6.7
2026-03-15,16.2,6.2
2026-03-16,16.7,7.9
2026-03-17,14.5,4.7
2026-03-18,15.9,5.4
2026-03-19,17.6,12.8
2026-03-20,15.9,6.1
2026-03-21,15.3,6.6
2026-03-22,18.3,12.6
2026-03-23,18.5,14.9
2026-03-24,15.5,6.9
2026-03-25,17.1,8.7
2026-03-26,17.4,10.3
2026-03-27,18.0,13.2
2026-03-28,17.2,8.0
2026-03-29,16.8,9.6
2026-03-30,17.9,11.8
2026-03-31,17.8,11.3
2026-04-01,16.8,9.9
2026-04-02,17.6,10.5
2026-04-03,16.3,8.2
2026-04-04,17.2,10.7
2026-04-05,18.2,10.8
2026-04-06,17.4,12.0
2026-04-07,16.2,10.6
2026-04-08,19.0,12.8
2026-04-09,19.9,14.1
2026-04-10,17.9,12.6
2026-04-11,17.3,13.1
2026-04-12,18.0,12.7
2026-04-13,18.0,12.8
2026-04-14,17.7,11.6
2026-04-15,18.0,13.8
2026-04-16,18.6,13.2
2026-04-17,20.2,17.8
2026-04-18,18.9,16.9
2026-04-19,19.2,14.7
2026-04-20,19.2,12.6
2026-04-21,18.0,12.1
2026-04-22,19.5,16.9
2026-04-23,19.0,15.3
2026-04-24,19.6,15.9
2026-04-25,16.9,11.7
2026-04-26,19.8,17.2
2026-04-27,19.3,16.5
2026-04-28,19.4,13.5
2026-04-29,18.9,15.0
2026-04-30,20.4,16.7
2026-05-01,18.9,16.4
2026-05-02,19.6,15.9
2026-05-03,19.6,16.5
2026-05-04,19.0,16.4
2026-05-05,19.9,17.4
2026-05-06,21.8,20.3
2026-05-07,17.9,12.4
2026-05-08,18.9,17.2
2026-05-09,19.9,18.3
2026-05-10,19.8,18.7
2026-05-11,19.7,17.6
2026-05-12,18.9,15.0
2026-05-13,19.8,19.3
2026-05-14,21.6,22.3
2026-05-15,19.5,16.0
2026-05-16,21.3,21.0
2026-05-17,19.0,18.8
2026-05-18,21.1,19.5
2026-05-19,20.0,17.7
2026-05-20,20.2,19.3
2026-05-21,22.0,22.8
2026-05-22,22.3,21.5
2026-05-23,27.2,24.0
2026-05-24,24.0,23.1
2026-05-25,22.3,21.8
2026-05-26,27.3,24.6
2026-05-27,22.2,22.2
2026-05-28,23.3,23.1
2026-05-29,21.9,21.0
2026-05-30,22.8,21.9
2026-05-31,21.1,20.6
2026-06-01,26.8,24.1
2026-06-02,20.7,19.9
2026-06-03,27.4,24.0
2026-06-04,23.1,22.2
2026-06-05,26.9,25.1
2026-06-06,26.8,24.4
2026-06-07,27.4,26.7
2026-06-08,27.0,24.7
2026-06-09,21.6,20.3
2026-06-10,21.9,23.4
2026-06-11,21.4,21.4
2026-06-12,22.3,22.8
2026-06-13,26.2,27.0
2026-06-14,26.7,25.4
2026-06-15,22.3,22.9
2026-06-16,22.3,22.4
2026-06-17,27.6,24.6
2026-06-18,22.2,22.2
2026-06-19,22.6,23.5
2026-06-20,27.1,25.6
2026-06-21,27.9,27.4
2026-06-22,26.8,26.4
2026-06-23,21.0,20.7
2026-06-24,27.5,26.0
2026-06-25,27.1,25.7
2026-06-26,27.6,26.5
2026-06-27,27.5,29.0
2026-06-28,22.4,21.7
2026-06-29,26.6,24.8
2026-06-30,27.3,27.2
2026-07-01,22.7,23.0
2026-07-02,26.9,29.2
2026-07-03,26.5,27.1
2026-07-04,27.8,28.1
2026-07-05,27.0,25.3
2026-07-06,26.9,28.2
2026-07-07,27.5,28.8
2026-07-08,27.9,27.2
2026-07-09,26.2,27.3
2026-07-10,26.6,27.4
2026-07-11,26.7,25.2
2026-07-12,28.0,26.7
2026-07-13,27.4,26.7
2026-07-14,27.8,27.9
2026-07-15,27.0,29.1
2026-07-16,26.6,25.1
2026-07-17,27.5,27.0
2026-07-18,27.7,30.2
